,island,sent_number,token,critical,surprisal
13,1,23,人,1,4.033452987670900
14,1,23,は,1,1.953162431716920
15,1,23,周り,1,10.398252487182600
16,1,23,に,1,1.8824692964553800
17,1,23,認め,1,7.404182434082030
18,1,23,られ,1,2.8099844455719000
19,1,23,た,1,0.9977411031723020
20,1,23,。,1,0.4397740960121160
21,1,23,</s>,1,2.4944841861724900
0,1,24,受け,0,9.759384155273440
1,1,24,た,0,4.088410377502440
2,1,24,難病,0,12.63793659210210
3,1,24,の,0,2.1669561862945600
4,1,24,診断,0,10.033160209655800
5,1,24,が,0,2.813683271408080
6,1,24,今朝,0,13.276800155639600
7,1,24,社内,0,12.07072639465330
8,1,24,で,0,2.7535624504089400
9,1,24,公表,0,8.816155433654790
10,1,24,さ,0,1.578919768333440
11,1,24,れ,0,0.3935408294200900
12,1,24,た,0,0.9294286370277410
13,1,24,重役,1,14.894556045532200
14,1,24,は,1,2.9714787006378200
15,1,24,引き継ぎ,1,12.871216773986800
16,1,24,を,1,4.080418109893800
17,1,24,始め,1,4.878828048706060
18,1,24,た,1,1.2176507711410500
19,1,24,。,1,0.18929599225521100
20,1,24,</s>,1,2.466482639312740
